x,y,wind_x,wind_y,pressure
0,0,5.146179818134492,-0.4314927886095667,0.0
3,0,6.344409881481445,-0.3868967640487086,0.0
6,0,3.206439650893511,-0.7744434603662393,0.0
9,0,5.753102761932646,0.2946299149663696,0.0
12,0,3.375113616266345,-0.2891763488137964,0.0
15,0,3.283758559941773,-0.765046940679625,0.0
18,0,7.722721106764273,0.3582466617730575,0.0
21,0,5.82826672590989,0.9427171335236202,0.0
24,0,4.979522363862264,0.0831595974602532,0.0
27,0,4.272148280632957,0.3227726612668011,0.0
30,0,6.730967782076574,0.6848049018942319,0.0
33,0,5.3011832582264,-0.394359829061701,0.0
36,0,5.014175254158099,0.6841427088723864,0.0
39,0,3.559241491048985,0.6717403554876915,0.0
42,0,5.718198605332203,-0.6109983594695272,0.0
45,0,6.825760651901483,0.4978342532629505,0.0
48,0,3.3053503863322407,-0.8547318749950976,0.0
51,0,6.184941612923524,-0.6445497532012077,0.0
54,0,3.434870821177383,0.4092882733108971,0.0
57,0,5.695786310958372,0.6911846015946015,0.0
60,0,6.556119938691431,0.2967741124871024,0.0
0,3,6.790979346018233,0.2096114841383949,0.0
3,3,7.437765568745197,0.7114615010633154,920.2325296736265
6,3,3.5566321106555967,0.3573638032270103,930.6913379784542
9,3,4.086251333601249,0.4136552531808677,446.66564984969676
12,3,3.091845801010116,0.8380429087543668,167.3933146826941
15,3,4.905345348940834,-0.5581723757570842,194.32856574335688
18,3,3.0879333982891,-0.1800510705384415,144.4120573448884
21,3,4.577992656198829,0.90398333298064,462.65736916969473
24,3,3.0308311310147564,0.2321218255363411,685.8057776484051
27,3,5.014154066543459,-0.4415463197679632,586.2897851127343
30,3,4.48210674958583,0.301247527058964,996.9031606961183
33,3,5.400654335584402,-0.7143425340022822,1486.9542457507284
36,3,4.178093929854929,0.4185792672524286,1765.1443049446027
39,3,3.0144177417779643,-0.0115502440783861,1366.7843026248465
42,3,5.104446248751135,0.702551502183788,1508.08928055756
45,3,3.987819371275421,-0.3979360491965074,2148.0924822995935
48,3,4.98428519027288,0.7954768343465783,2905.4955178361697
51,3,3.488806211451665,0.7133506740640225,3928.2642042034804
54,3,3.064672045668907,0.6472948156268477,4137.139706265039
57,3,4.994450135153825,0.5123364798873964,4943.88178670228
60,3,3.7916936206734624,-0.1617638915726174,6646.532962428751
0,6,6.394271650081657,-0.4663728831106672,0.0
3,6,4.244017851419214,-0.1239096049924706,551.3654858778393
6,6,5.407899079340416,0.6197549794373198,560.0828264131505
9,6,5.556252846460026,0.9683030708241128,1009.933804059303
12,6,4.850933534634937,0.361018868424295,799.9457987132005
15,6,4.183795895903341,-0.6192990900016866,60.7621766577133
18,6,6.936577661194677,0.3725215313234968,-67.00199150069537
21,6,7.673465938962654,0.503362721220179,1307.291870445965
24,6,4.808926248887458,-0.5616685254178202,1617.242031472347
27,6,5.664312533547236,-0.2298015892479554,1453.0486901997283
30,6,5.96837217020074,0.054677774460065,2197.189266969362
33,6,5.553863525947496,-0.6809786977976557,2536.7383368715377
36,6,4.102504200607358,0.0381019257845944,2662.625882600558
39,6,3.620673786565053,-0.8888047770168521,2206.667581723289
42,6,5.365921100024545,-0.986316830431614,2505.387181097518
45,6,7.540762073990888,-0.2533618664277566,3925.8941336570733
48,6,6.548399205574923,0.6168568561853964,5614.733787205755
51,6,7.812065584416083,-0.4294528381346814,7134.298753223105
54,6,4.014902388274722,-0.7941721116399099,8146.1507212920205
57,6,7.023506673396677,0.1440850164633071,9552.572108600949
60,6,4.408656571721329,0.0820640148196163,12125.77110786735
0,9,6.083728280816892,-0.2790901212962211,0.0
