x,y,wind_x,wind_y,pressure
0,0,3.596059568219643,-0.3449564863954406,0.0
3,0,5.483287786358567,-0.3614154852695765,0.0
6,0,7.391470754356151,0.5780487899366515,0.0
9,0,3.278790797140624,0.4408733845232735,0.0
12,0,5.556953033711604,0.21938666889875,0.0
15,0,6.963674348968919,0.6680869109630079,0.0
18,0,6.929406501977102,0.3450939544867741,0.0
21,0,5.034090179793457,0.5837448505597798,0.0
24,0,4.885697808024583,-0.6162402358134544,0.0
27,0,6.0108407310665335,-0.0010754899006242,0.0
30,0,6.350242143707719,0.6848722673081626,0.0
33,0,7.844321745839852,-0.5683531504616668,0.0
36,0,4.0376704957237965,0.2075510059643837,0.0
39,0,3.1923815440696357,-0.9275470156980294,0.0
42,0,3.519896197115555,-0.0057820929397962,0.0
45,0,3.353237573842587,0.832781747620176,0.0
48,0,4.604302014947094,0.2462047480476179,0.0
51,0,6.13383937121595,0.2785275222012235,0.0
54,0,3.955333032349879,-0.7726335912275815,0.0
57,0,3.4201041219691555,0.4303224422023797,0.0
60,0,4.183945952870409,-0.3442573434481544,0.0
0,3,4.5965719682561375,0.6498180140764751,0.0
3,3,3.326621978090188,0.8866779004573953,-239.27015989180686
6,3,4.967342443848072,-0.3097701969267887,-682.0639175245835
9,3,4.568029245346606,0.3124868167589161,-937.520448147524
12,3,7.775653491269313,0.8300517617597956,-163.0635701419261
15,3,5.43600124726723,-0.8239968123727697,1052.3912019277627
18,3,3.5656718273376136,-0.2972014612767573,654.1451915625418
21,3,7.137579019747271,-0.8164080052775526,757.0966385406881
24,3,4.517197122382983,-0.0107611968657415,1483.915609294071
27,3,3.052106068582193,0.7867656893508239,900.4285658675938
30,3,3.236226443535088,-0.1209213683919461,323.80478957812664
33,3,4.048587937400447,0.0849393201443613,273.041244702985
36,3,4.001689152840964,0.2160974634409087,324.0499235134978
39,3,6.7990483734229965,0.5997388189652393,1304.6645289985627
42,3,6.429576284349055,-0.9042535847307468,2434.024902007755
45,3,4.32975540909724,-0.2061099416917899,2649.3719910967725
48,3,5.193099822461608,0.8140391477646973,2434.9070384891243
51,3,5.5549037703323325,0.5687126808786152,3065.908783534324
54,3,6.341821714619354,0.9343980369857176,4223.814937139041
57,3,6.200977119043121,0.5119848138808336,5982.915945850732
60,3,3.726157692231515,-0.6614751067703162,7352.885266913403
0,6,4.612395716000041,0.0117069008959183,0.0
3,6,4.674905296343925,0.904125219068411,563.6721555150035
6,6,3.5349197057010797,0.7302106035782947,-258.93900874107254
9,6,3.8743407514408457,-0.2961720752817072,-1274.5085628186253
12,6,7.627106970385559,-0.9634621095072228,-826.064214156411
15,6,7.520273505624419,-0.720876577950329,498.2612480373684
18,6,6.203771910883924,-0.9040621739084178,1325.9020608005203
21,6,6.107036756650235,0.2046930509840643,1636.924130874734
24,6,4.291406106422598,0.2694954500611142,1771.701257478619
27,6,5.355118698641597,0.6681719649899094,1385.5653945729507
30,6,4.112065017654495,-0.0449648924130872,736.232722222486
33,6,7.301991476027016,-0.061558615726444,902.1543242673862
36,6,7.689684505055888,0.8763403337796989,2077.288219429367
39,6,7.681517757452932,-0.6683162946719923,3618.72865756778
42,6,4.450632321782192,0.5681292191479015,4541.955452967677
45,6,3.166380892330743,-0.3879731350606172,4658.740687186077
48,6,5.455780733900324,0.6890114966985945,5267.620859874707
51,6,5.633565764802698,0.4100277537344949,6614.142060558574
54,6,4.790737630776741,-0.0051467756255363,8264.289023651096
57,6,5.785790277028152,-0.7530998580499826,10147.495500513849
60,6,4.077308069135915,-0.9986006982054992,12158.134055158254
0,9,5.3951432538035125,0.5788243729838924,0.0
3,9,6.408626491136839,-0.9320559518635,875.1159326986262
6,9,3.432263291840446,0.4381443245436489,316.12417239235714
9,9,5.961765437711714,0.6309960223642577,-198.99651018083466
12,9,3.639613709311928,-0.0517258779750073,-566.8464896624661
15,9,6.527229375247672,-0.5469756019374037,-308.88850826974124
18,9,7.188330454544055,-0.4320990873750885,1496.2316091775376
21,9,3.595311839380872,0.9929653057564638,2613.4127778889615
24,9,4.511707569807562,0.1146907978998001,2171.8233194015575
27,9,5.012197877603508,0.7157688140200793,1963.4713326740393
30,9,6.774433082051003,0.4850219939186304,1994.936843152123
33,9,7.365059986066264,0.6528028032460831,3215.496944951644
36,9,4.053010183055676,0.8901904606138173,4142.81876639109
39,9,5.800827275473255,0.6849449997617627,4477.083475788222
42,9,6.326974011067359,0.3861118982236442,5324.240882478671
45,9,7.6236092477902275,-0.8815058414686701,6391.424870974379
48,9,7.737807532071606,0.3574271865107268,8662.0103948468
51,9,3.9937967063684474,0.8726730437799068,9623.223017908093
54,9,7.321529919859605,-0.4596305095550352,11247.992163563622
57,9,5.551041416509312,0.5654070921016459,13757.944716161448
60,9,4.769377803785008,-0.8620849119467298,15673.861810427923
0,12,4.665380263215763,-0.5536266753771142,0.0
3,12,3.6978599180974334,-0.9164123998333168,156.434279941948
6,12,5.180860517299115,0.4264692933973393,354.93568245242477
9,12,5.556381584059356,-0.3274353010035971,836.94729832426
12,12,4.009628198537446,0.7439623586369681,541.1506072669623
15,12,5.197174287755915,-0.2336026607818335,-44.84926059651032
18,12,6.3037898870985885,0.4744952045273432,1326.7628286918039
21,12,5.32153055938521,-0.799480703044551,2748.050772395532
24,12,4.779631510372515,-0.7802452540142863,2567.6973652855527
27,12,6.318886635213575,-0.6429056584447999,2924.5538586274165
30,12,4.09776281903446,-0.6349288335460979,3191.9623131983753
33,12,6.811582758988747,-0.5253878758577879,3725.2225635752807
36,12,7.508877850447136,0.3681577088237673,5437.779827885481
39,12,5.701704036648582,-0.5792751358813761,6355.632684171365
42,12,5.820236548445168,0.1651805965366961,6819.318769620683
45,12,7.207319675664419,-0.699360731451764,7611.241961270142
48,12,7.328781840088221,-0.7117718060706131,10085.483752695862
51,12,5.787755430809474,0.9710512696305412,12034.719838765397
54,12,7.395383401910818,-0.7679239127790989,13874.416827347379
57,12,5.400016847478771,-0.917821572667738,16169.481471151412
